
SWEPT_VAR_1 = 75.0    // Syn: Source PP \ NetStim \ PARAMETER \ interval (ms)

t	s.v( 0.05 )
ms	mV
428     	-81.99  
428.4   	-81.96  
428.8   	-81.94  
429.2   	-81.92  
429.6   	-81.89  
430     	-81.86  
430.4   	-81.82  
430.8   	-81.79  
431.2   	-81.75  
431.6   	-81.71  
432     	-81.67  
432.4   	-81.63  
432.8   	-81.6   
433.2   	-81.57  
433.6   	-81.55  
434     	-81.53  
434.4   	-81.52  
434.8   	-81.51  
435.2   	-81.5   
435.6   	-81.5   
436     	-81.5   
436.4   	-81.5   
436.8   	-81.51  
437.2   	-81.52  
437.6   	-81.53  
438     	-81.55  
438.4   	-81.57  
438.8   	-81.59  
439.2   	-81.61  
439.6   	-81.63  
440     	-81.65  
440.4   	-81.67  
440.8   	-81.69  
441.2   	-81.71  
441.6   	-81.74  
442     	-81.75  
442.4   	-81.76  
442.8   	-81.77  
443.2   	-81.78  
443.6   	-81.78  
444     	-81.78  
444.4   	-81.77  
444.8   	-81.75  
445.2   	-81.73  
445.6   	-81.69  
446     	-81.58  
446.4   	-81.22  
446.8   	-80.31  
447.2   	-77.47  
447.6   	-66.74  
448     	-26.38  
448.4   	43.65   
448.8   	34.85   
449.2   	18.47   
449.6   	0.5708  
450     	-17.15  
450.4   	-35.96  
450.8   	-53.35  
451.2   	-65.06  
451.6   	-71.72  
452     	-75.43  
452.4   	-77.55  
452.8   	-78.8   
453.2   	-79.59  
453.6   	-80.1   
454     	-80.45  
454.4   	-80.71  
454.8   	-80.9   
455.2   	-81.04  
455.6   	-81.16  
456     	-81.24  
456.4   	-81.31  
456.8   	-81.36  
457.2   	-81.4   
457.6   	-81.44  
458     	-81.46  
458.4   	-81.47  
458.8   	-81.47  
459.2   	-81.46  
459.6   	-81.45  
460     	-81.44  
460.4   	-81.42  
460.8   	-81.4   
461.2   	-81.37  
461.6   	-81.33  
462     	-81.3   
462.4   	-81.27  
462.8   	-81.24  
463.2   	-81.21  
463.6   	-81.2   
464     	-81.18  
464.4   	-81.17  
464.8   	-81.17  
465.2   	-81.17  
465.6   	-81.17  
466     	-81.18  
466.4   	-81.2   
466.8   	-81.21  
467.2   	-81.22  
467.6   	-81.23  
468     	-81.24  
468.4   	-81.25  
468.8   	-81.26  
469.2   	-81.27  
469.6   	-81.27  
470     	-81.27  
470.4   	-81.27  
470.8   	-81.28  
471.2   	-81.28  
471.6   	-81.29  
472     	-81.3   
472.4   	-81.32  
472.8   	-81.33  
473.2   	-81.34  
473.6   	-81.34  
474     	-81.35  
474.4   	-81.37  
474.8   	-81.38  
475.2   	-81.39  
